User Language,"Please answer 13 questions about one of your classes this fall. 
1.  What college are you attending?","2.  What class you are taking?  
     (Please choose one. If you like, you can do the survey again for another class.)",3.  Is this class on campus (in person) or online?,4.  Instruction is at the right level for me in this class.,5.  The pace of this class is okay for me.,6.  How does the teacher of this class help you learn?       Choose the answers that are true for you.,7.  What other things does the teacher do to help you learn?,8.  The teacher helps me to feel welcome in this class.,9.  The teacher of this class speaks to all students with respect.,"13.  I would recommend this class to a friend,",10.  The books and materials for this class are at the right level for me.,11.  I have access to the books and materials I need for this class.,"12. My teacher has given me information about student support services, such as tutoring, the wellness center, academic advising, and career planning.","13.  I would recommend this class to a friend,","You selected ""no"" when asked if you would recommend this class to a friend.  Please tell us why not.",,,,,,,,,,,,
EN,Wright College,Language Arts,online,yes,yes,The teacher helps me understand the materials.,Assignment to be completed ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Poco laboratorio,sometimes,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
ES,Daley College,Math,on campus (in person),yes,yes,The teacher helps me learn how to take tests.,Nos deja tareas de repaso y nos da copias del libro.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Test Taking Skills,online,yes,yes,The teacher helps me learn how to take tests.,"Responde cualquier pregunta, nos anima trabajar en grupo etc.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,no - too slow,The teacher helps me learn how to use Brightspace.,"Hope this survey is anonyms but I quit the class because the teacher was so bad, she waste my time to be enroll in this class ",always,always,no,no - too easy,yes,yes,no,"The class yes, but I didn't like how the teacher conduct her class, waste of my time ",,,,,,,,,,,,
EN,Daley College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Test Taking Strategies,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Nos hace aprender con cosas de la vida diaria,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Help me everything if I have questions.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"She teaches us idioms, phrasal verbs and the rules to write a good essay. These are all very difficult but useful topics for me.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Language Arts,on campus (in person),yes,yes,The teacher helps me learn how to take tests.,Nos da copias de libro y nos deja tareas.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","He super nice 
He puts  us for reading  stories  and after we talk about that ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,N/A,sometimes,sometimes,yes,yes,no,yes,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.",He help me understand  how to do the work right and also understand  how we can used new tools ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,The teacher helps me learn how to use Zoom.,The teacher helped me in zoom how I can do work and give a Samples then he let me work with the work assignment ,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Need be more patient to explain ,sometimes,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Career Foundations,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",She encourages us and makes us feel better about what weâ€™re going to do in the future. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,no - too difficult,yes,The teacher helps me understand the materials.,Help ours to understood the lesson,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Tiene mucha pasiÃ³n por lo que hace y es muy buena en todo lo que nos enseÃ±a usa todo tipo de tÃ©cnicas para que podamos aprender mÃ¡s fÃ¡cil las lecciones .,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps to make the books and materials interesting.,If I donâ€™t understand sheâ€™ll repeat and sheâ€™s patient she makes our lesson very interesting and funny ,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Malcolm X College,ESL (English as a Second Language),online,yes,no - too slow,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","The teacher has done everything to help, but teaching English. I am wondering if it is a English class or a baby sitting class. ",always,always,no,yes,yes,yes,no,"Because the teacher spends 90% of time on baby sitting, 10% on English. It's not teacher's fault, it is the system. Look back at your survey and see what you care about is not English. Terrible, wasting government's funding and students' time",,,,,,,,,,,,
EN,Truman College,Bridge,online,yes,yes,The teacher helps me understand the materials.,Help,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Zoom.",She gives us recommendations to keep learning. ,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Le falta ser mÃ¡s recursivo,sometimes,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,The teacher helps me understand the materials.,Explains al material for our best understanding. Takes his time and offers us as much help we need. ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps to make the books and materials interesting.,Ponerlo en prÃ¡ctica ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Bridge,online,yes,yes,The teacher helps me understand the materials.,"She explains everything with examples, like sharing the screen with different topics from the field I'm studying.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,no - too slow,The teacher helps me learn how to use Zoom.,The teacher is too lazy looking for excuse not to connect it does not seem that weâ€™re in a class ESL Iâ€™m very frustrated ,sometimes,sometimes,no,yes,sometimes,no,no,"no, because he is not really committed to teaching",,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.","Talking, reading ",always,always,no,yes,yes,yes,no,I don't have any friends yet.,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),no - too easy,no - too slow,The teacher helps to make the books and materials interesting.,Repetir enseguida de ella en varias ocasiones ( pronunciaciÃ³n ),sometimes,always,no,no - too easy,yes,no,no,"La maestra no nos enseÃ±Ã³ de acuerdo a lo que habÃ­amos visto en el nivel anterior.
Traiamos muy buena base y fundamentos para seguir progresando... 
Pero lamentablemente no seguimos con lo aprendido.
Todo es muy metÃ³dico y repetitivo, ella leÃ­a y nosotros repetiamos varias ocasiones lo mismo.",,,,,,,,,,,,
EN,Wright College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",How to make a good estimated guess if we don't know what to answer.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Actividades en computadora en inglÃ©s.,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",What he does it's according to the class.,sometimes,sometimes,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,defines vocabulary and uses on sentences.Encourages participation.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Nos deja interactivo con otros alumnos expresarnos, y deja ejercicios en Elt Y nos da sugerencias que estaciones de radio escuchar.",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Realiza dinamicas de preguntas y respuestas para practicar el idioma.,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Brightspace.",El maestro toma su tiempo para explicar y tiene paciencia ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",The teacher help me to learn the english,always,always,no,yes,sometimes,no,no,Becaus the online class are too hard to me i recommend my friends in inperson class.,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,She has knowledge about the topics ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,Explica muy bien ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Malcolm X College,Language Arts,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.","Helps us be more creative, but also aware of spelling and how a essay is used in format. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Test Taking Skills,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.","Use  of vocabulary  in English language  and word problem solving,  including algebra graphings.",never,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.","La clase es dinÃ¡mica, y el profesor nos apoya y estimula en el aprendizaje, nos hace participar me gusta mucho esta clase. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,The teacher help me listening speak AND writr english Easy AND fast because ITS very important for me conversatiom with the other peaople.,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Truman College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to take tests.",Encourage us to keep practicing the material at home and read more to develop a better skill of learning,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",InglÃ©s,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Daley College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,"Ms Teresa ;The best article for a teacher because she uses all methods to make us understand and use phrases in a beautiful and fun way. She tries to make us all study and love study I hope you will be my teacher forever , she Use examples, video With the explanation in an interesting and beautiful way, I hope that she  will remain my teacher in all future levels.",always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Olive-Harvey College,Math,on campus (in person),no - too difficult,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,MATH ONLY: The teacher helps me learn how to use MyOpenMath.,The teacher helps me learn how to take tests.",My teachers do good helping me,never,always,no,no - too difficult,yes,not sure,no,Because Iâ€™m not here to make friends Iâ€™m here to get my application,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,The teacher helps me learn English as my second language.,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",many,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
EN,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Pronunciation and conversation,always,always,yes,yes,yes,no,yes,,,,,,,,,,,,,
EN,Wright College,ESL (English as a Second Language),on campus (in person),yes,yes,The teacher helps me understand the materials.,"Grammar, Vocabulary, idiom, and reading ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.","El profesor me ayuda a practicar sonidos, lectura y escritura en las computadoras. ",always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Nos ayuda a la pronunciaciÃ³n correcta de las palabras ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,ESL (English as a Second Language),on campus (in person),yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.",Explica de nuevo si no entendimos,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
EN,Truman College,Computer Skills,on campus (in person),yes,yes,The teacher helps me understand the materials.,He takes his time with everyone in the class to make sure everyone is understanding ,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,no - too difficult,no - too fast,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.",El me ayuda en todo pero a mi se me hace muy difÃ­cil aprender inglÃ©s no tengo buena memoria y no he asistido porque estoy saliendo tarde de mi trabajo y no llego a tiempo para conectarme a la clase.,always,always,yes,no - too difficult,yes,yes,yes,,,,,,,,,,,,,
ES,Daley College,Math,online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.,The teacher helps me learn how to take tests.",Siempre se asegura que entienda y si es necesario repite el ejercicio ,always,always,yes,yes,yes,not sure,yes,,,,,,,,,,,,,
ES,Wright College,ESL (English as a Second Language),online,yes,yes,"The teacher helps me understand the materials.,The teacher helps to make the books and materials interesting.,The teacher helps me learn how to use Zoom.,The teacher helps me learn how to use Brightspace.",Realiza actividades muy interesantes y creativas para que todos aprendamos mejor,always,always,yes,yes,yes,yes,yes,,,,,,,,,,,,,
ES,Truman College,ESL (English as a Second Language),online,yes,yes,The teacher helps me understand the materials.,Su mejor esfuerzo!,always,always,yes,yes,sometimes,yes,yes,,,,,,,,,,,,,
EN,Daley College,Math,online,yes,no - too slow,The teacher helps me learn how to use Brightspace.,"Not much, she just keeps reassigning hw and not really showing us anything on zoom.",sometimes,always,no,yes,yes,yes,no,"I selected no because I came here to learn math and refresh my memory, but she doesnâ€™t really show us anything. She just sends us links to YouTube videos so self taught. She only goes on zoom if we have any questions about the hw. In regards of teaching not really. ",,,,,,,,,,,,
